elapsed,label
390,www.sprint.com
287,www.verizon.com
223,www.verizon.com-0
64,www.verizon.com-1
1347,www.samsclub.com
271,www.sears.com
326,www.kmart.com
647,www.staples.com
298,www.dell.com
163,www.dell.com-0
135,www.dell.com-1
764,www.target.com
1314,www.bjs.com
367,www.lenovo.com
171,www.lenovo.com-0
196,www.lenovo.com-1
398,www.harborfreight.com
296,www.dickssportinggoods.com
460,www.amazon.com
668,www.kohls.com
515,www.walmart.com
618,www.walgreens.com
462,www.homedepot.com
434,www.wholefoods.com
185,www.wholefoods.com-0
248,www.wholefoods.com-1
234,www.apple.com
472,www.samsung.com
163,www.samsung.com-0
309,www.samsung.com-1
640,www.vizio.com
193,www.vizio.com-0
447,www.vizio.com-1
625,store.google.com
321,www.sprint.com
267,www.verizon.com
210,www.verizon.com-0
57,www.verizon.com-1
301,www.samsclub.com
282,www.sears.com
263,www.kmart.com
584,www.staples.com
298,www.dell.com
158,www.dell.com-0
139,www.dell.com-1
341,www.target.com
1505,www.bjs.com
344,www.lenovo.com
165,www.lenovo.com-0
179,www.lenovo.com-1
367,www.harborfreight.com
319,www.dickssportinggoods.com
514,www.amazon.com
871,www.kohls.com
579,www.walmart.com
618,www.walgreens.com
503,www.homedepot.com
701,www.wholefoods.com
450,www.wholefoods.com-0
250,www.wholefoods.com-1
266,www.apple.com
477,www.samsung.com
248,www.samsung.com-0
229,www.samsung.com-1
807,www.vizio.com
278,www.vizio.com-0
529,www.vizio.com-1
1312,store.google.com
504,www.sprint.com
266,www.verizon.com
209,www.verizon.com-0
57,www.verizon.com-1
334,www.samsclub.com
318,www.sears.com
335,www.kmart.com
927,www.staples.com
374,www.dell.com
229,www.dell.com-0
145,www.dell.com-1
326,www.target.com
1496,www.bjs.com
495,www.lenovo.com
341,www.lenovo.com-0
154,www.lenovo.com-1
346,www.harborfreight.com
344,www.dickssportinggoods.com
396,www.amazon.com
727,www.kohls.com
496,www.walmart.com
650,www.walgreens.com
317,www.homedepot.com
478,www.wholefoods.com
190,www.wholefoods.com-0
288,www.wholefoods.com-1
219,www.apple.com
447,www.samsung.com
175,www.samsung.com-0
272,www.samsung.com-1
600,www.vizio.com
191,www.vizio.com-0
409,www.vizio.com-1
885,store.google.com
347,www.sprint.com
282,www.verizon.com
217,www.verizon.com-0
65,www.verizon.com-1
307,www.samsclub.com
311,www.sears.com
274,www.kmart.com
720,www.staples.com
322,www.dell.com
186,www.dell.com-0
136,www.dell.com-1
478,www.target.com
1505,www.bjs.com
431,www.lenovo.com
239,www.lenovo.com-0
192,www.lenovo.com-1
379,www.harborfreight.com
281,www.dickssportinggoods.com
406,www.amazon.com
874,www.kohls.com
557,www.walmart.com
693,www.walgreens.com
567,www.homedepot.com
539,www.wholefoods.com
234,www.wholefoods.com-0
303,www.wholefoods.com-1
267,www.apple.com
487,www.samsung.com
202,www.samsung.com-0
285,www.samsung.com-1
974,www.vizio.com
349,www.vizio.com-0
624,www.vizio.com-1
875,store.google.com
378,www.sprint.com
354,www.verizon.com
255,www.verizon.com-0
99,www.verizon.com-1
437,www.samsclub.com
305,www.sears.com
254,www.kmart.com
693,www.staples.com
369,www.dell.com
175,www.dell.com-0
194,www.dell.com-1
353,www.target.com
1414,www.bjs.com
